datetime,Will Israel or the US target an Iranian nuclear facility,Will Israel or the US target an Iranian oil or gas facility,Will Israel or the US target Fordow nuclear facility,Will Israel or the US target Isfahan Nuclear Technology Center nuclear facility,Will Israel or the US target Natanz Uranium Enrichment Facility
2026-03-01 09:20:00,0.5,0.5,0.5,0.5,
2026-03-01 09:21:00,0.5,0.5,0.5,0.5,0.5
2026-03-01 09:30:00,0.5,0.5,0.5,0.5,0.5
2026-03-01 09:31:00,0.5,0.5,0.5,0.5,0.5
2026-03-01 09:40:00,0.5,0.5,0.5,0.5,0.5
2026-03-01 09:41:00,0.5,0.5,0.5,0.5,0.5
2026-03-01 09:50:00,0.5,0.5,0.5,0.5,0.5
2026-03-01 09:51:00,0.5,0.5,0.5,0.5,0.5
2026-03-01 10:00:00,0.505,0.505,0.505,0.5,0.5
2026-03-01 10:01:00,0.505,0.505,0.505,0.5,0.5
2026-03-01 10:10:00,0.505,0.505,0.505,0.5,0.5
2026-03-01 10:11:00,0.505,0.505,0.505,0.5,0.5
2026-03-01 10:20:00,0.505,0.505,0.535,0.535,0.5
2026-03-01 10:21:00,0.505,0.505,0.535,0.535,0.5
2026-03-01 10:30:00,0.835,0.535,0.535,0.535,0.5
2026-03-01 10:31:00,0.835,0.535,0.535,0.535,0.535
2026-03-01 10:40:00,0.835,0.535,0.535,0.585,0.535
2026-03-01 10:41:00,0.835,0.535,0.535,0.585,0.535
2026-03-01 10:50:00,0.835,0.61,0.61,0.61,0.535
2026-03-01 10:51:00,0.835,0.61,0.61,0.61,0.61
2026-03-01 11:00:00,0.835,0.885,0.61,0.61,0.61
2026-03-01 11:01:00,0.8,0.885,0.61,0.61,0.61
2026-03-01 11:10:00,0.8,0.875,0.885,0.555,0.61
2026-03-01 11:11:00,0.8,0.875,0.885,0.555,0.545
2026-03-01 11:20:00,0.835,0.875,0.885,0.555,0.545
2026-03-01 11:21:00,0.835,0.875,0.885,0.555,0.545
2026-03-01 11:30:00,0.835,0.475,0.885,0.555,0.545
2026-03-01 11:31:00,0.835,0.475,0.885,0.555,0.545
2026-03-01 11:40:00,0.835,0.465,0.885,0.555,0.545
2026-03-01 11:41:00,0.835,0.465,0.885,0.555,0.545
2026-03-01 11:50:00,0.835,0.47,0.885,0.555,0.545
2026-03-01 11:51:00,0.835,0.47,0.885,0.555,0.545
2026-03-01 12:00:00,0.835,0.47,0.885,0.555,0.545
2026-03-01 12:01:00,0.835,0.47,0.885,0.59,0.545
2026-03-01 12:10:00,0.945,0.715,0.91,0.9,0.785
2026-03-01 12:20:00,0.95,0.715,0.945,0.95,0.785
2026-03-01 12:21:00,0.95,0.715,0.945,0.95,0.785
2026-03-01 12:30:00,0.935,0.715,0.945,0.95,0.785
2026-03-01 12:31:00,0.935,0.715,0.945,0.95,0.785
2026-03-01 12:40:00,0.945,0.49,0.945,0.95,0.785
